timestamp_hour,home_id,solar_capacity_kw,battery_capacity_kwh,pv_production_kwh,load_consumption_kwh,from_pool_cap_kwh,battery_soc_pct,battery_flow_kwh,to_pool_kwh,from_pool_kwh,grid_import_kwh,credits_delta_kwh,credits_balance_kwh,policy_mode
2025-10-01 00:00:00,H001,8.0,13.5,0.0,0.33,0,47.5,-0.327,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 00:00:00,H002,6.5,10.0,0.0,0.31,0,46.8,-0.308,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 00:00:00,H003,7.5,12.0,0.0,0.3,0,47.4,-0.299,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 00:00:00,H004,5.0,8.0,0.0,1.5,0,30.2,-1.503,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 00:00:00,H005,6.0,10.0,0.0,0.3,0,46.8,-0.303,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 00:00:00,H006,4.5,7.0,0.0,1.57,0,26.3,-1.573,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 00:00:00,H007,5.5,9.0,0.0,0.39,0,45.4,-0.394,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 00:00:00,H008,7.0,11.0,0.0,0.23,0,47.8,-0.228,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 00:00:00,H009,3.5,5.0,0.0,1.73,0,20.0,-1.425,0.0,0.0,0.30499999999999994,0.0,0.0,self_first
2025-10-01 00:00:00,H010,6.5,10.5,0.0,0.32,0,46.8,-0.318,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 01:00:00,H001,8.0,13.5,0.0,0.32,0,45.0,-0.317,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 01:00:00,H002,6.5,10.0,0.0,0.38,0,42.8,-0.38,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 01:00:00,H003,7.5,12.0,0.0,0.2,0,45.6,-0.204,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 01:00:00,H004,5.0,8.0,0.0,0.39,0,25.0,-0.395,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 01:00:00,H005,6.0,10.0,0.0,0.26,0,44.1,-0.259,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 01:00:00,H006,4.5,7.0,0.0,1.62,0,20.0,-0.422,0.0,0.0,1.1980000000000002,0.0,0.0,self_first
2025-10-01 01:00:00,H007,5.5,9.0,0.0,0.31,0,41.8,-0.31,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 01:00:00,H008,7.0,11.0,0.0,0.23,0,45.6,-0.232,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 01:00:00,H009,3.5,5.0,0.0,0.47,0,20.0,-0.0,0.0,0.0,0.47,0.0,0.0,self_first
2025-10-01 01:00:00,H010,6.5,10.5,0.0,0.25,0,44.3,-0.251,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 02:00:00,H001,8.0,13.5,0.0,0.26,0,42.9,-0.261,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 02:00:00,H002,6.5,10.0,0.0,0.36,0,38.9,-0.365,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 02:00:00,H003,7.5,12.0,0.0,0.29,0,43.0,-0.291,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 02:00:00,H004,5.0,8.0,0.0,0.39,0,20.0,-0.382,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 02:00:00,H005,6.0,10.0,0.0,0.27,0,41.3,-0.268,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 02:00:00,H006,4.5,7.0,0.0,0.45,0,20.0,-0.0,0.0,0.0,0.45,0.0,0.0,self_first
2025-10-01 02:00:00,H007,5.5,9.0,0.0,0.36,0,37.6,-0.36,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 02:00:00,H008,7.0,11.0,0.0,0.3,0,42.8,-0.297,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 02:00:00,H009,3.5,5.0,0.0,0.49,0,20.0,-0.0,0.0,0.0,0.49,0.0,0.0,self_first
2025-10-01 02:00:00,H010,6.5,10.5,0.0,0.32,0,41.1,-0.324,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 03:00:00,H001,8.0,13.5,0.0,0.31,0,40.6,-0.306,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 03:00:00,H002,6.5,10.0,0.0,0.32,0,35.6,-0.318,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 03:00:00,H003,7.5,12.0,0.0,0.28,0,40.6,-0.28,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 03:00:00,H004,5.0,8.0,0.0,0.39,0,20.0,-0.0,0.0,0.0,0.39,0.0,0.0,self_first
2025-10-01 03:00:00,H005,6.0,10.0,0.0,0.34,0,37.7,-0.336,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 03:00:00,H006,4.5,7.0,0.0,0.47,0,20.0,-0.0,0.0,0.0,0.47,0.0,0.0,self_first
2025-10-01 03:00:00,H007,5.5,9.0,0.0,0.38,0,33.1,-0.379,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 03:00:00,H008,7.0,11.0,0.0,0.29,0,40.0,-0.29,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 03:00:00,H009,3.5,5.0,0.0,0.48,0,20.0,-0.0,0.0,0.0,0.48,0.0,0.0,self_first
2025-10-01 03:00:00,H010,6.5,10.5,0.0,0.32,0,37.8,-0.325,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 04:00:00,H001,8.0,13.5,0.0,0.28,0,38.4,-0.276,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 04:00:00,H002,6.5,10.0,0.0,0.36,0,31.8,-0.363,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 04:00:00,H003,7.5,12.0,0.0,0.23,0,38.6,-0.23,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 04:00:00,H004,5.0,8.0,0.0,0.37,0,20.0,-0.0,0.0,0.0,0.37,0.0,0.0,self_first
2025-10-01 04:00:00,H005,6.0,10.0,0.0,0.31,0,34.5,-0.31,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 04:00:00,H006,4.5,7.0,0.0,0.46,0,20.0,-0.0,0.0,0.0,0.46,0.0,0.0,self_first
2025-10-01 04:00:00,H007,5.5,9.0,0.0,0.33,0,29.2,-0.335,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 04:00:00,H008,7.0,11.0,0.0,0.29,0,37.2,-0.292,0.0,0.0,0.0,0.0,0.0,self_first
2025-10-01 04:00:00,H009,3.5,5.0,0.0,0.52,0,20.0,-0.0,0.0,0.0,0.52,0.0,0.0,self_first
